Name,Rating,Improv,APP,CS,AVG,G,A,Position
Marc-Andre Stegen,83,1,34,12,6.9,0,0,Goalkeeper
Vito Mannone,75,0,4,0,6.4,0,0,Goalkeeper
Darius Braun,66,0,3,1,6.3,0,0,Goalkeeper
Bacary Sagna,81,-1,29,11,6.8,0,2,Right Back
Nathaniel Clyne,81,2,8,3,7,0,1,Right Back
Carl Jenkinson,74,0,2,0,6,0,0,Right Back
Fabio Arnos,59,0,0,0,0,0,0,Right Back
Kieran Gibbs,84,2,27,8,6.7,0,1,Left Back
Adriano,75,0,9,2,6.3,0,0,Left Back
Luke Shaw,73,4,7,4,7.1,0,0,Left Back
Ecuele Manga,87,2,21,6,7.1,1,0,Cornerback
Dede,85,2,21,6,7,2,0,Cornerback
Ciaran Clark,85,2,13,5,7.3,0,0,Cornerback
Yanga-M'Biwa,82,0,18,6,7.4,2,0,Cornerback
Stefano Denswil,75,2,5,1,6.8,1,0,Cornerback
Danny Ventre,69,1,3,2,7.2,0,0,Cornerback
Dan Eccelston,65,3,1,0,5.4,0,0,Cornerback
Emilio Botelho,69,2,8,2,6.7,1,1,Defensive Mid
Emmanuel Frimpong,75,1,4,1,6.4,0,2,Defensive Mid
Francis Coquelin,77,2,6,1,6.3,0,0,Defensive Mid
Axel Witsel,89,1,30,9,7.1,7,2,Central Mid
Jack Wilshere,89,2,28,12,7.2,0,11,Central Mid
Abou Diaby,80,1,13,3,6.7,1,2,Central Mid
Connor Henderson,69,1,4,0,6.6,2,0,Central Mid
Kyle Ebecilio,75,5,0,0,0,0,0,Central Mid
Chuks Aneke,66,2,0,0,0,0,0,Central Mid
Mario Gotze,90,2,30,12,7.3,5,10,Central Attacking Mid
Aaron Ramsey,83,2,26,4,6.6,2,4,Central Attacking Mid
Thomas Eisfeld,68,1,3,0,6,0,0,Central Attacking Mid
James Rodriguez,87,2,15,6,7.5,8,3,Winger
Ryo Miyaichi,78,0,15,3,7,4,4,Winger
Andre Schurrle,85,2,23,5,6.6,6,4,Winger
Alex Oxlade-Chamberlain,86,3,29,10,7.5,20,8,Winger
Sanchez Watt,72,0,13,1,6.2,4,0,Winger
Gervinho,83,0,14,2,7.1,6,3,Winger
Seydou Doumbia,88,0,26,7,7.3,9,11,Striker
Leandro Damiao,86,1,24,4,7.5,16,6,Striker
Imoh Ezekiel,74,0,7,1,6.9,2,1,Striker
